Datum;;;;EV3;;;;EV6;;;;EV9;
03.07.2017 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 00:15;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 00:30;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 00:45;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 01:15;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 01:30;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 01:45;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 02:15;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 02:30;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 02:45;0;0;0;0;0;0;0;0;0;0;0;8,321311475;8,321311475
03.07.2017 03:00;0;0;0;0;0;0;0;0;0;0;0;8,321311475;8,321311475
03.07.2017 03:15;0;0;0;0;0;0;0;0;0;0;0;8,321311475;8,321311475
03.07.2017 03:30;0;0;0;2,645845272;2,645845272;0;0;0;0;0;0;8,321311475;8,321311475
03.07.2017 03:45;0;0;0;2,645845272;2,645845272;0;0;8,056216216;8,056216216;0;0;8,321311475;8,321311475
03.07.2017 04:00;0;0;0;2,645845272;2,645845272;0;0;8,056216216;8,056216216;0;0;8,321311475;8,321311475
03.07.2017 04:15;0;0;0;2,645845272;2,645845272;0;0;8,056216216;8,056216216;0;0;8,321311475;8,321311475
03.07.2017 04:30;0;0;0;2,645845272;2,645845272;0;0;8,056216216;8,056216216;0;0;8,321311475;8,321311475
03.07.2017 04:45;8,4375;0;0;2,645845272;2,645845272;0;0;15,85621622;15,85621622;0;0;8,321311475;8,321311475
03.07.2017 05:00;8,4375;0;0;2,645845272;2,645845272;0;0;15,85621622;15,85621622;0;0;8,321311475;8,321311475
03.07.2017 05:15;10,2277965;0;0;2,645845272;2,645845272;0;0;23,00756757;15,85621622;7,151351351;0;8,321311475;8,321311475
03.07.2017 05:30;10,33590738;0;0;2,645845272;2,645845272;0;0;23,00756757;15,85621622;7,151351351;0;8,321311475;8,321311475
03.07.2017 05:45;10,33590738;0;0;7,532402649;2,645845272;4,886557377;0;23,00756757;15,85621622;7,151351351;0;8,321311475;8,321311475
03.07.2017 06:00;10,33590738;0;0;7,532402649;2,645845272;4,886557377;0;23,00756757;15,85621622;7,151351351;0;0;0
03.07.2017 06:15;10,33590738;0;0;13,00163342;2,645845272;10,35578815;0;23,00756757;15,85621622;7,151351351;0;0;0
03.07.2017 06:30;1,898407379;0;0;13,00163342;2,645845272;10,35578815;0;23,00756757;15,85621622;7,151351351;0;0;0
03.07.2017 06:45;1,898407379;0;6,781395349;13,00163342;2,645845272;10,35578815;0;23,00756757;15,85621622;7,151351351;0;0;0
03.07.2017 07:00;1,898407379;0;6,781395349;13,00163342;2,645845272;10,35578815;0;14,95135135;7,8;7,151351351;0;0;0
03.07.2017 07:15;1,898407379;0;6,781395349;13,00163342;2,645845272;10,35578815;0;14,95135135;7,8;7,151351351;0;0;0
03.07.2017 07:30;1,898407379;0;6,781395349;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 07:45;1,898407379;0;6,781395349;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 08:00;6,398407379;0;6,781395349;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 08:15;6,398407379;0;6,781395349;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 08:30;1,898407379;0;0;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 08:45;1,898407379;0;0;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 09:00;1,898407379;0;0;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 09:15;1,898407379;0;0;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 09:30;1,898407379;0;0;13,00163342;2,645845272;10,35578815;0;0;0;0;0;0;0
03.07.2017 09:45;1,898407379;0;0;10,35578815;0;10,35578815;0;0;0;0;0;0;0
03.07.2017 10:00;1,898407379;0;0;10,35578815;0;10,35578815;0;0;0;0;0;0;0
03.07.2017 10:15;1,898407379;0;0;10,35578815;0;10,35578815;0;0;0;0;0;0;0
03.07.2017 10:30;1,898407379;0;0;4,886557377;0;4,886557377;0;0;0;0;0;0;0
03.07.2017 10:45;1,898407379;0;0;4,886557377;0;4,886557377;0;0;0;0;0;0;0
03.07.2017 11:00;1,898407379;0;0;4,886557377;0;4,886557377;0;0;0;0;0;0;0
03.07.2017 11:15;1,898407379;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 11:30;1,898407379;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 11:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 12:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 12:15;0,108110883;0;0;0;0;0;0;6,889655172;0;0;6,889655172;0;0
03.07.2017 12:30;0,108110883;0;0;0;0;0;0;6,889655172;0;0;6,889655172;0;0
03.07.2017 12:45;8,042804761;0;0;0;0;0;0;6,889655172;0;0;6,889655172;0;0
03.07.2017 13:00;8,042804761;0;0;0;0;0;0;6,889655172;0;0;6,889655172;0;0
03.07.2017 13:15;10,25189567;0;0;0;0;0;0;6,889655172;0;0;6,889655172;0;0
03.07.2017 13:30;10,25189567;0;0;0;0;0;0;6,889655172;0;0;6,889655172;0;0
03.07.2017 13:45;0,108110883;0;0;0;0;0;0;6,889655172;0;0;6,889655172;0;0
03.07.2017 14:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 14:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 14:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 14:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 15:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 15:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 15:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 15:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 16:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 16:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 16:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 16:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 17:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 17:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 17:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 17:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 18:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 18:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 18:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 18:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 19:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 19:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 19:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 19:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 20:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 20:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 20:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 20:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 21:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 21:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 21:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 21:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 22:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 22:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 22:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 22:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 23:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 23:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 23:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2017 23:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2017 00:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2017 00:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2017 00:30;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2017 00:45;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2017 01:00;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2017 01:15;0,108110883;0;0;0;0;0;0;0;0;0;0;0;0
