t,dem_power
0,2.4973577311215498e-19
1,2.621745283761653e-19
2,2.6863222058003103e-19
3,2.72875485346255e-19
4,2.8147830395385675e-19
5,2.8455741258143475e-19
6,2.844055661285678e-19
7,2.905680013407479e-19
8,2.789052939297412e-19
9,2.799850909279057e-19
10,2.88286030351294e-19
11,3.034791115520283e-19
12,2.966665204441566e-19
13,2.937645660115899e-19
14,3.145506582262535e-19
15,3.2298657227441253e-19
16,3.215461399506894e-19
17,3.092339233974014e-19
18,3.1217805740020885e-19
19,3.185471725065688e-19
20,3.2639177115952206e-19
21,3.155305318225175e-19
22,3.2361213748065376e-19
23,3.4226394344113314e-19
24,3.7048040280927204e-19
25,4.1535102963142936e-19
26,4.2832968339452187e-19
27,4.342474770993054e-19
28,4.53541734153979e-19
29,4.604760555015658e-19
30,4.479655949681462e-19
31,4.409342606090056e-19
32,4.482974919465141e-19
33,4.365715714195732e-19
34,4.459987053683909e-19
35,4.591798210686391e-19
36,4.383511274880323e-19
37,4.628912014541266e-19
38,4.646121279199512e-19
39,4.729510289565564e-19
40,4.670589647896197e-19
41,4.520514736979448e-19
42,4.632248418547314e-19
43,4.6740061930857e-19
44,4.212332097190728e-19
45,4.129449241667568e-19
46,4.2232566058830945e-19
47,4.408045303108017e-19
48,4.513856832415509e-19
49,4.430046026347048e-19
50,4.533723409998922e-19
51,4.407437776697983e-19
52,4.180046729339886e-19
53,4.104629657749344e-19
54,4.234458374950511e-19
55,4.268539467705073e-19
56,4.3045713655832713e-19
57,4.253702803872873e-19
58,4.099705192923732e-19
59,4.137666806140446e-19
60,4.46529380601447e-19
61,4.388611347316706e-19
62,3.935855840352015e-19
63,3.93349378441853e-19
64,4.106890201517115e-19
65,4.086222212099127e-19
66,4.0117752706241236e-19
67,3.973223143424038e-19
68,4.2215317426573813e-19
69,4.1834435907299435e-19
70,4.190825015522083e-19
71,4.1822625627632013e-19
72,3.895319164372098e-19
73,3.903206744007127e-19
74,3.9527255594698214e-19
75,3.612673864188533e-19
76,3.5337970836482748e-19
77,3.9032057598171557e-19
78,3.777215383507902e-19
79,3.7934123384803668e-19
80,3.9741013220764497e-19
81,3.964104763929382e-19
82,4.116583910349855e-19
83,4.08494923266926e-19
84,3.772365014127344e-19
85,3.825426913490265e-19
86,3.7985585272468773e-19
87,3.9039230937083825e-19
88,3.6100727906903514e-19
89,3.821181539745529e-19
90,3.8529849357070875e-19
91,3.7412090745689815e-19
92,3.6272311586671715e-19
93,3.5494520311431455e-19
94,3.5632869301821265e-19
95,3.596777508953317e-19
96,3.809546867688876e-19
97,3.689082015081165e-19
98,3.5018890823525186e-19
99,3.456377326062701e-19
100,3.1617658224003894e-19
101,3.2042828292031095e-19
102,3.1540891406165646e-19
103,3.188802926924739e-19
104,3.1989646883885833e-19
105,3.1771156710038517e-19
106,3.1578396074038093e-19
107,3.030204227855163e-19
108,3.0997723990389806e-19
109,3.178015501835655e-19
110,3.106689848558472e-19
111,3.148110186534932e-19
112,3.0554672596551863e-19
113,3.002278821581544e-19
114,3.1149826332649466e-19
115,3.1460267969621717e-19
116,3.262570355523163e-19
117,3.202042672227622e-19
118,3.418002071860492e-19
119,3.400539729780802e-19
120,4.0137350740560785e-19
121,4.53022391165461e-19
122,4.600959050948421e-19
123,4.440128349620272e-19
124,4.2872425921426774e-19
125,4.353591056131448e-19
126,4.370420704657525e-19
127,4.478695661465645e-19
128,4.336353531161143e-19
129,4.147346876912141e-19
130,4.365035638924883e-19
131,4.570070529865386e-19
132,4.715876446478062e-19
133,4.72380620568333e-19
134,4.737556745581832e-19
135,4.763159744717994e-19
136,4.564198711892165e-19
137,4.521175550246555e-19
138,4.44715040447396e-19
139,4.362959982273333e-19
140,3.9179369747237527e-19
141,3.813584717948027e-19
142,4.0368411832325527e-19
143,4.26385163026851e-19
144,4.470075703892669e-19
145,4.466954415694851e-19
146,4.610702391075479e-19
147,4.658997999001189e-19
148,4.432944747012563e-19
149,4.396881214456683e-19
150,4.474069827997338e-19
151,4.418224076998525e-19
152,4.354477951895045e-19
153,4.3100628644314883e-19
154,4.1075165681351903e-19
155,4.225914621801103e-19
156,4.2317287943616613e-19
157,4.1948216704009667e-19
158,4.251890628936761e-19
159,4.1669831540420415e-19
160,4.357098990389807e-19
161,4.3225961019328387e-19
162,4.249878522837708e-19
163,4.285309361839976e-19
164,4.2363024657614373e-19
165,4.2480283862883783e-19
166,4.23267502272073e-19
167,4.23166271303495e-19
168,4.0775500924576193e-19
169,4.0642635278317685e-19
170,4.022885369425548e-19
171,3.7529782994547037e-19
172,3.911009261508837e-19
173,4.0555164691538e-19
174,4.1326207235539725e-19
175,4.121822753572328e-19
176,3.954052106953893e-19
177,3.973412529694419e-19
178,3.97244239957888e-19
179,3.885594664453082e-19
180,3.8792425617733876e-19
181,3.798299966481303e-19
182,3.7916777739534973e-19
183,3.7852242997066555e-19
184,3.8954808527246896e-19
185,3.998019387980061e-19
186,4.0000440073516187e-19
187,3.972036772711731e-19
188,3.7324583603282584e-19
189,3.670538751214773e-19
190,3.642362798293922e-19
191,3.5615467417125583e-19
192,3.5442691461505247e-19
