"","DateTime","weekly_mean_price","sum_remuneration","sum_power","weighted_average"
1,2014-12-29,5903.08196721311,4011318,671,5978.11922503726
2,2015-01-05,4714.66666666667,3220434,671,4799.45454545455
3,2015-01-12,4543.68656716418,3099306,670,4625.82985074627
4,2015-01-19,4579,3164542,685,4619.76934306569
5,2015-01-26,4479.35593220339,3097686,680,4555.42058823529
6,2015-02-02,4312.6,2930939,677,4329.30428360414
7,2015-02-09,4070.625,2808568,688,4082.22093023256
8,2015-02-16,3863.15942028986,2668700,688,3878.92441860465
9,2015-02-23,3825.89552238806,2605363,681,3825.79001468429
10,2015-03-02,3789.07692307692,2563014,676,3791.44082840237
11,2015-03-09,3681.625,2463519,671,3671.41430700447
12,2015-03-16,3784.96153846154,2579054,677,3809.53323485967
13,2015-03-23,3814.56896551724,2608991,681,3831.1174743025
14,2015-03-30,3984,2714674,670,4051.75223880597
15,2015-04-06,4151.5,2781056,670,4150.82985074627
16,2015-04-13,4099.14,3271329.56,786,4161.9968956743
17,2015-04-20,4141.65,3315800.64,791,4191.90978508217
18,2015-04-27,4102.25489361702,3243864.36,787,4121.80986022872
19,2015-05-04,4078.26432989691,3231443.8,785,4116.48891719745
20,2015-05-11,4021.86977777778,3157647.2,784,4027.6112244898
21,2015-05-18,3977.0778021978,3126185.76,784,3987.48183673469
22,2015-05-25,3905.33098901099,3071909.8,784,3918.25229591837
23,2015-06-01,3910.75806451613,2536280,645,3932.21705426357
24,2015-06-08,3903.98757575758,3163916.12,794,3984.78100755668
25,2015-06-15,3974.47760683761,3177067.6,791,4016.5203539823
26,2015-06-22,3958.71381818182,3132986.44,784,3996.15617346939
27,2015-06-29,3880.92678571429,3097297.56,794,3900.87853904282
28,2015-07-06,3799.76271186441,2506734,659,3803.84522003035
29,2015-07-13,3641.41103448276,2946696.72,801,3678.77243445693
30,2015-07-20,3530.02170542636,2810675.96,795,3535.4414591195
31,2015-07-27,3389.75692307692,2658968,786,3382.91094147583
32,2015-08-03,3222.93230769231,2551046.8,787,3241.48259212198
33,2015-08-10,3078.73757009346,2411758.4,784,3076.22244897959
34,2015-08-17,2995.77586206897,2362260.72,788,2997.79279187817
35,2015-08-24,2923.17806451613,2293436.44,783,2929.03759897829
36,2015-08-31,2847.49323943662,2210920.72,783,2823.65353767561
37,2015-09-07,2840.75472868217,2245684.88,788,2849.85390862944
