t,frr_neg_prices
0,3.4383442602672673e-09
1,3.4383442602672673e-09
2,3.4383442602672673e-09
3,3.4383442602672673e-09
4,3.4383442602672673e-09
5,3.4383442602672673e-09
6,3.4383442602672673e-09
7,3.4383442602672673e-09
8,3.4383442602672673e-09
9,3.4383442602672673e-09
10,3.4383442602672673e-09
11,3.4383442602672673e-09
12,3.4383442602672673e-09
13,3.4383442602672673e-09
14,3.4383442602672673e-09
15,3.4383442602672673e-09
16,3.4383442602672673e-09
17,3.4383442602672673e-09
18,3.4383442602672673e-09
19,3.4383442602672673e-09
20,3.4383442602672673e-09
21,3.4383442602672673e-09
22,3.4383442602672673e-09
23,3.4383442602672673e-09
24,3.4383442602672673e-09
25,3.4383442602672673e-09
26,3.4383442602672673e-09
27,3.4383442602672673e-09
28,3.4383442602672673e-09
29,3.4383442602672673e-09
30,3.4383442602672673e-09
31,3.4383442602672673e-09
32,3.4383442602672673e-09
33,3.4383442602672673e-09
34,3.4383442602672673e-09
35,3.4383442602672673e-09
36,3.4383442602672673e-09
37,3.4383442602672673e-09
38,3.4383442602672673e-09
39,3.4383442602672673e-09
40,3.4383442602672673e-09
41,3.4383442602672673e-09
42,3.4383442602672673e-09
43,3.4383442602672673e-09
44,3.4383442602672673e-09
45,3.4383442602672673e-09
46,3.4383442602672673e-09
47,3.4383442602672673e-09
48,3.4383442602672673e-09
49,3.4383442602672673e-09
50,3.4383442602672673e-09
51,3.4383442602672673e-09
52,3.4383442602672673e-09
53,3.4383442602672673e-09
54,3.4383442602672673e-09
55,3.4383442602672673e-09
56,3.4383442602672673e-09
57,3.4383442602672673e-09
58,3.4383442602672673e-09
59,3.4383442602672673e-09
60,3.4383442602672673e-09
61,3.4383442602672673e-09
62,3.4383442602672673e-09
63,3.4383442602672673e-09
64,3.4383442602672673e-09
65,3.4383442602672673e-09
66,3.4383442602672673e-09
67,3.4383442602672673e-09
68,3.4383442602672673e-09
69,3.4383442602672673e-09
70,3.4383442602672673e-09
71,3.4383442602672673e-09
72,3.4383442602672673e-09
73,3.4383442602672673e-09
74,3.4383442602672673e-09
75,3.4383442602672673e-09
76,3.4383442602672673e-09
77,3.4383442602672673e-09
78,3.4383442602672673e-09
79,3.4383442602672673e-09
80,3.4383442602672673e-09
81,3.4383442602672673e-09
82,3.4383442602672673e-09
83,3.4383442602672673e-09
84,3.4383442602672673e-09
85,3.4383442602672673e-09
86,3.4383442602672673e-09
87,3.4383442602672673e-09
88,3.4383442602672673e-09
89,3.4383442602672673e-09
90,3.4383442602672673e-09
91,3.4383442602672673e-09
92,3.4383442602672673e-09
93,3.4383442602672673e-09
94,3.4383442602672673e-09
95,3.4383442602672673e-09
96,3.4383442602672673e-09
97,3.4383442602672673e-09
98,3.4383442602672673e-09
99,3.4383442602672673e-09
100,3.4383442602672673e-09
101,3.4383442602672673e-09
102,3.4383442602672673e-09
103,3.4383442602672673e-09
104,3.4383442602672673e-09
105,3.4383442602672673e-09
106,3.4383442602672673e-09
107,3.4383442602672673e-09
108,3.4383442602672673e-09
109,3.4383442602672673e-09
110,3.4383442602672673e-09
111,3.4383442602672673e-09
112,3.4383442602672673e-09
113,3.4383442602672673e-09
114,3.4383442602672673e-09
115,3.4383442602672673e-09
116,3.4383442602672673e-09
117,3.4383442602672673e-09
118,3.4383442602672673e-09
119,3.4383442602672673e-09
120,3.4383442602672673e-09
121,3.4383442602672673e-09
122,3.4383442602672673e-09
123,3.4383442602672673e-09
124,3.4383442602672673e-09
125,3.4383442602672673e-09
126,3.4383442602672673e-09
127,3.4383442602672673e-09
128,3.4383442602672673e-09
129,3.4383442602672673e-09
130,3.4383442602672673e-09
131,3.4383442602672673e-09
132,3.4383442602672673e-09
133,3.4383442602672673e-09
134,3.4383442602672673e-09
135,3.4383442602672673e-09
136,3.4383442602672673e-09
137,3.4383442602672673e-09
138,3.4383442602672673e-09
139,3.4383442602672673e-09
140,3.4383442602672673e-09
141,3.4383442602672673e-09
142,3.4383442602672673e-09
143,3.4383442602672673e-09
144,3.4383442602672673e-09
145,3.4383442602672673e-09
146,3.4383442602672673e-09
147,3.4383442602672673e-09
148,3.4383442602672673e-09
149,3.4383442602672673e-09
150,3.4383442602672673e-09
151,3.4383442602672673e-09
152,3.4383442602672673e-09
153,3.4383442602672673e-09
154,3.4383442602672673e-09
155,3.4383442602672673e-09
156,3.4383442602672673e-09
157,3.4383442602672673e-09
158,3.4383442602672673e-09
159,3.4383442602672673e-09
160,3.4383442602672673e-09
161,3.4383442602672673e-09
162,3.4383442602672673e-09
163,3.4383442602672673e-09
164,3.4383442602672673e-09
165,3.4383442602672673e-09
166,3.4383442602672673e-09
167,3.4383442602672673e-09
168,3.4383442602672673e-09
169,3.4383442602672673e-09
170,3.4383442602672673e-09
171,3.4383442602672673e-09
172,3.4383442602672673e-09
173,3.4383442602672673e-09
174,3.4383442602672673e-09
175,3.4383442602672673e-09
176,3.4383442602672673e-09
177,3.4383442602672673e-09
178,3.4383442602672673e-09
179,3.4383442602672673e-09
180,3.4383442602672673e-09
181,3.4383442602672673e-09
182,3.4383442602672673e-09
183,3.4383442602672673e-09
184,3.4383442602672673e-09
185,3.4383442602672673e-09
186,3.4383442602672673e-09
187,3.4383442602672673e-09
188,3.4383442602672673e-09
189,3.4383442602672673e-09
190,3.4383442602672673e-09
191,3.4383442602672673e-09
192,3.4383442602672673e-09
