t,frr_pos_prices
0,3.791965923217996e-07
1,3.791965923217996e-07
2,3.791965923217996e-07
3,3.791965923217996e-07
4,3.791965923217996e-07
5,3.791965923217996e-07
6,3.791965923217996e-07
7,3.791965923217996e-07
8,3.791965923217996e-07
9,3.791965923217996e-07
10,3.791965923217996e-07
11,3.791965923217996e-07
12,3.791965923217996e-07
13,3.791965923217996e-07
14,3.791965923217996e-07
15,3.791965923217996e-07
16,3.791965923217996e-07
17,3.791965923217996e-07
18,3.791965923217996e-07
19,3.791965923217996e-07
20,3.791965923217996e-07
21,3.791965923217996e-07
22,3.791965923217996e-07
23,3.791965923217996e-07
24,3.791965923217996e-07
25,3.791965923217996e-07
26,3.791965923217996e-07
27,3.791965923217996e-07
28,3.791965923217996e-07
29,3.791965923217996e-07
30,3.791965923217996e-07
31,3.791965923217996e-07
32,3.791965923217996e-07
33,3.791965923217996e-07
34,3.791965923217996e-07
35,3.791965923217996e-07
36,3.791965923217996e-07
37,3.791965923217996e-07
38,3.791965923217996e-07
39,3.791965923217996e-07
40,3.791965923217996e-07
41,3.791965923217996e-07
42,3.791965923217996e-07
43,3.791965923217996e-07
44,3.791965923217996e-07
45,3.791965923217996e-07
46,3.791965923217996e-07
47,3.791965923217996e-07
48,3.791965923217996e-07
49,3.791965923217996e-07
50,3.791965923217996e-07
51,3.791965923217996e-07
52,3.791965923217996e-07
53,3.791965923217996e-07
54,3.791965923217996e-07
55,3.791965923217996e-07
56,3.791965923217996e-07
57,3.791965923217996e-07
58,3.791965923217996e-07
59,3.791965923217996e-07
60,3.791965923217996e-07
61,3.791965923217996e-07
62,3.791965923217996e-07
63,3.791965923217996e-07
64,3.791965923217996e-07
65,3.791965923217996e-07
66,3.791965923217996e-07
67,3.791965923217996e-07
68,3.791965923217996e-07
69,3.791965923217996e-07
70,3.791965923217996e-07
71,3.791965923217996e-07
72,3.791965923217996e-07
73,3.791965923217996e-07
74,3.791965923217996e-07
75,3.791965923217996e-07
76,3.791965923217996e-07
77,3.791965923217996e-07
78,3.791965923217996e-07
79,3.791965923217996e-07
80,3.791965923217996e-07
81,3.791965923217996e-07
82,3.791965923217996e-07
83,3.791965923217996e-07
84,3.791965923217996e-07
85,3.791965923217996e-07
86,3.791965923217996e-07
87,3.791965923217996e-07
88,3.791965923217996e-07
89,3.791965923217996e-07
90,3.791965923217996e-07
91,3.791965923217996e-07
92,3.791965923217996e-07
93,3.791965923217996e-07
94,3.791965923217996e-07
95,3.791965923217996e-07
96,3.791965923217996e-07
97,3.791965923217996e-07
98,3.791965923217996e-07
99,3.791965923217996e-07
100,3.791965923217996e-07
101,3.791965923217996e-07
102,3.791965923217996e-07
103,3.791965923217996e-07
104,3.791965923217996e-07
105,3.791965923217996e-07
106,3.791965923217996e-07
107,3.791965923217996e-07
108,3.791965923217996e-07
109,3.791965923217996e-07
110,3.791965923217996e-07
111,3.791965923217996e-07
112,3.791965923217996e-07
113,3.791965923217996e-07
114,3.791965923217996e-07
115,3.791965923217996e-07
116,3.791965923217996e-07
117,3.791965923217996e-07
118,3.791965923217996e-07
119,3.791965923217996e-07
120,3.791965923217996e-07
121,3.791965923217996e-07
122,3.791965923217996e-07
123,3.791965923217996e-07
124,3.791965923217996e-07
125,3.791965923217996e-07
126,3.791965923217996e-07
127,3.791965923217996e-07
128,3.791965923217996e-07
129,3.791965923217996e-07
130,3.791965923217996e-07
131,3.791965923217996e-07
132,3.791965923217996e-07
133,3.791965923217996e-07
134,3.791965923217996e-07
135,3.791965923217996e-07
136,3.791965923217996e-07
137,3.791965923217996e-07
138,3.791965923217996e-07
139,3.791965923217996e-07
140,3.791965923217996e-07
141,3.791965923217996e-07
142,3.791965923217996e-07
143,3.791965923217996e-07
144,3.791965923217996e-07
145,3.791965923217996e-07
146,3.791965923217996e-07
147,3.791965923217996e-07
148,3.791965923217996e-07
149,3.791965923217996e-07
150,3.791965923217996e-07
151,3.791965923217996e-07
152,3.791965923217996e-07
153,3.791965923217996e-07
154,3.791965923217996e-07
155,3.791965923217996e-07
156,3.791965923217996e-07
157,3.791965923217996e-07
158,3.791965923217996e-07
159,3.791965923217996e-07
160,3.791965923217996e-07
161,3.791965923217996e-07
162,3.791965923217996e-07
163,3.791965923217996e-07
164,3.791965923217996e-07
165,3.791965923217996e-07
166,3.791965923217996e-07
167,3.791965923217996e-07
168,3.791965923217996e-07
169,3.791965923217996e-07
170,3.791965923217996e-07
171,3.791965923217996e-07
172,3.791965923217996e-07
173,3.791965923217996e-07
174,3.791965923217996e-07
175,3.791965923217996e-07
176,3.791965923217996e-07
177,3.791965923217996e-07
178,3.791965923217996e-07
179,3.791965923217996e-07
180,3.791965923217996e-07
181,3.791965923217996e-07
182,3.791965923217996e-07
183,3.791965923217996e-07
184,3.791965923217996e-07
185,3.791965923217996e-07
186,3.791965923217996e-07
187,3.791965923217996e-07
188,3.791965923217996e-07
189,3.791965923217996e-07
190,3.791965923217996e-07
191,3.791965923217996e-07
192,3.791965923217996e-07
