t,kaelte
0,7.029928373465791e-15
1,7.029928373465791e-15
2,7.029928373465791e-15
3,7.029928373465791e-15
4,7.789160637800098e-15
5,7.789160637800098e-15
6,7.789160637800098e-15
7,7.789160637800098e-15
8,7.676681783824642e-15
9,7.676681783824642e-15
10,7.676681783824642e-15
11,7.676681783824642e-15
12,1.001061800381528e-14
13,1.001061800381528e-14
14,1.001061800381528e-14
15,1.001061800381528e-14
16,8.646811899362923e-15
17,8.646811899362923e-15
18,8.646811899362923e-15
19,8.646811899362923e-15
20,1.1163526257063676e-14
21,1.1163526257063676e-14
22,1.1163526257063676e-14
23,1.1163526257063676e-14
24,8.913949177554622e-15
25,8.913949177554622e-15
26,8.913949177554622e-15
27,8.913949177554622e-15
28,1.0741730554655729e-14
29,1.0741730554655729e-14
30,1.0741730554655729e-14
31,1.0741730554655729e-14
32,1.0109037001043802e-14
33,1.0109037001043802e-14
34,1.0109037001043802e-14
35,1.0109037001043802e-14
36,1.0207455998272327e-14
37,1.0207455998272327e-14
38,1.0207455998272327e-14
39,1.0207455998272327e-14
40,1.0474593276464027e-14
41,1.0474593276464027e-14
42,1.0474593276464027e-14
43,1.0474593276464027e-14
44,9.912199006586762e-15
45,9.912199006586762e-15
46,9.912199006586762e-15
47,9.912199006586762e-15
48,1.0713610841161864e-14
49,1.0713610841161864e-14
50,1.0713610841161864e-14
51,1.0713610841161864e-14
52,1.0882329122125045e-14
53,1.0882329122125045e-14
54,1.0882329122125045e-14
55,1.0882329122125045e-14
56,8.365614764424289e-15
57,8.365614764424289e-15
58,8.365614764424289e-15
59,8.365614764424289e-15
60,1.1304124824532994e-14
61,1.1304124824532994e-14
62,1.1304124824532994e-14
63,1.1304124824532994e-14
64,1.1669681099953212e-14
65,1.1669681099953212e-14
66,1.1669681099953212e-14
67,1.1669681099953212e-14
68,1.0305874995500847e-14
69,1.0305874995500847e-14
70,1.0305874995500847e-14
71,1.0305874995500847e-14
72,1.1233825540798334e-14
73,1.1233825540798334e-14
74,1.1233825540798334e-14
75,1.1233825540798334e-14
76,9.940318720080627e-15
77,9.940318720080627e-15
78,9.940318720080627e-15
79,9.940318720080627e-15
80,1.0376174279235507e-14
81,1.0376174279235507e-14
82,1.0376174279235507e-14
83,1.0376174279235507e-14
84,9.560702587913476e-15
85,9.560702587913476e-15
86,9.560702587913476e-15
87,9.560702587913476e-15
88,1.051677284670482e-14
89,1.051677284670482e-14
90,1.051677284670482e-14
91,1.051677284670482e-14
92,1.0657371414174138e-14
93,1.0657371414174138e-14
94,1.0657371414174138e-14
95,1.0657371414174138e-14
96,9.532582874419611e-15
97,9.532582874419611e-15
98,9.532582874419611e-15
99,9.532582874419611e-15
100,1.1318184681279922e-14
101,1.1318184681279922e-14
102,1.1318184681279922e-14
103,1.1318184681279922e-14
104,9.813780009358242e-15
105,9.813780009358242e-15
106,9.813780009358242e-15
107,9.813780009358242e-15
108,1.1022927689594358e-14
109,1.1022927689594358e-14
110,1.1022927689594358e-14
111,1.1022927689594358e-14
112,1.0094977144296874e-14
113,1.0094977144296874e-14
114,1.0094977144296874e-14
115,1.0094977144296874e-14
116,1.001061800381528e-14
117,1.001061800381528e-14
118,1.001061800381528e-14
119,1.001061800381528e-14
120,1.0657371414174138e-14
121,1.0657371414174138e-14
122,1.0657371414174138e-14
123,1.0657371414174138e-14
124,9.616942014901202e-15
125,9.616942014901202e-15
126,9.616942014901202e-15
127,9.616942014901202e-15
128,1.0446473562970162e-14
129,1.0446473562970162e-14
130,1.0446473562970162e-14
131,1.0446473562970162e-14
132,1.0207455998272327e-14
133,1.0207455998272327e-14
134,1.0207455998272327e-14
135,1.0207455998272327e-14
136,1.008091728754994e-14
137,1.008091728754994e-14
138,1.008091728754994e-14
139,1.008091728754994e-14
140,1.0277755282006984e-14
141,1.0277755282006984e-14
142,1.0277755282006984e-14
143,1.0277755282006984e-14
144,1.0193396141525396e-14
145,1.0193396141525396e-14
146,1.0193396141525396e-14
147,1.0193396141525396e-14
148,1.0376174279235507e-14
149,1.0376174279235507e-14
150,1.0376174279235507e-14
151,1.0376174279235507e-14
152,9.279505452974843e-15
153,9.279505452974843e-15
154,9.279505452974843e-15
155,9.279505452974843e-15
156,1.1177586113810605e-14
157,1.1177586113810605e-14
158,1.1177586113810605e-14
159,1.1177586113810605e-14
160,1.0446473562970162e-14
161,1.0446473562970162e-14
162,1.0446473562970162e-14
163,1.0446473562970162e-14
164,1.137442410826765e-14
165,1.137442410826765e-14
166,1.137442410826765e-14
167,1.137442410826765e-14
168,1.0446473562970162e-14
169,1.0446473562970162e-14
170,1.0446473562970162e-14
171,1.0446473562970162e-14
172,1.0966688262606634e-14
173,1.0966688262606634e-14
174,1.0966688262606634e-14
175,1.0966688262606634e-14
176,1.1191645970557538e-14
177,1.1191645970557538e-14
178,1.1191645970557538e-14
179,1.1191645970557538e-14
180,1.0741730554655729e-14
181,1.0741730554655729e-14
182,1.0741730554655729e-14
183,1.0741730554655729e-14
184,1.1121346686822881e-14
185,1.1121346686822881e-14
186,1.1121346686822881e-14
187,1.1121346686822881e-14
188,1.1402543821761512e-14
189,1.1402543821761512e-14
190,1.1402543821761512e-14
191,1.1402543821761512e-14
192,1.0952628405859702e-14
