DateTime;Power
01.01.2015 01:00;73
01.01.2015 02:00;89
01.01.2015 03:00;12
01.01.2015 04:00;20
01.01.2015 05:00;34
01.01.2015 06:00;50
01.01.2015 07:00;83
01.01.2015 08:00;85
01.01.2015 09:00;90
01.01.2015 10:00;62
01.01.2015 11:00;42
01.01.2015 12:00;81
01.01.2015 13:00;91
01.01.2015 14:00;109
01.01.2015 15:00;153
01.01.2015 16:00;200
01.01.2015 17:00;192
01.01.2015 18:00;196
01.01.2015 19:00;175
01.01.2015 20:00;174
01.01.2015 21:00;172
01.01.2015 22:00;171
01.01.2015 23:00;107
02.01.2015 00:00;103
02.01.2015 01:00;75
02.01.2015 02:00;77
02.01.2015 03:00;95
02.01.2015 04:00;81
02.01.2015 05:00;96
02.01.2015 06:00;197
02.01.2015 07:00;198
02.01.2015 08:00;193
02.01.2015 09:00;170
02.01.2015 10:00;132
02.01.2015 11:00;106
02.01.2015 12:00;317
02.01.2015 13:00;635
02.01.2015 14:00;362
02.01.2015 15:00;226
02.01.2015 16:00;233
02.01.2015 17:00;286
02.01.2015 18:00;303
02.01.2015 19:00;266
02.01.2015 20:00;259
02.01.2015 21:00;261
02.01.2015 22:00;260
02.01.2015 23:00;354
03.01.2015 00:00;226
03.01.2015 01:00;194
03.01.2015 02:00;221
03.01.2015 03:00;243
03.01.2015 04:00;256
03.01.2015 05:00;248
03.01.2015 06:00;253
03.01.2015 07:00;241
03.01.2015 08:00;230
03.01.2015 09:00;209
03.01.2015 10:00;184
03.01.2015 11:00;208
03.01.2015 12:00;176
03.01.2015 13:00;173
03.01.2015 14:00;298
03.01.2015 15:00;836
03.01.2015 16:00;494
03.01.2015 17:00;323
03.01.2015 18:00;318
03.01.2015 19:00;413
03.01.2015 20:00;418
03.01.2015 21:00;351
03.01.2015 22:00;339
03.01.2015 23:00;358
04.01.2015 00:00;369
04.01.2015 01:00;367
04.01.2015 02:00;370
04.01.2015 03:00;367
04.01.2015 04:00;363
04.01.2015 05:00;361
04.01.2015 06:00;367
