t,1,2,3
0,0.0,0.0,1.4059856746931581e-14
1,0.0,0.0,1.4059856746931581e-14
2,0.0,0.0,1.4059856746931581e-14
3,0.0,0.0,1.4059856746931581e-14
4,0.0,0.0,1.4059856746931581e-14
5,0.0,0.0,1.4059856746931581e-14
6,0.0,0.0,1.4059856746931581e-14
7,0.0,0.0,1.4059856746931581e-14
8,0.0,0.0,1.4059856746931581e-14
9,0.0,0.0,1.4059856746931581e-14
10,0.0,0.0,1.4059856746931581e-14
11,0.0,0.0,1.4059856746931581e-14
12,0.0,0.0,1.4059856746931581e-14
13,0.0,0.0,1.4059856746931581e-14
14,0.0,0.0,1.4059856746931581e-14
15,0.0,0.0,1.4059856746931581e-14
16,0.0,0.0,1.4059856746931581e-14
17,0.0,0.0,1.4059856746931581e-14
18,0.0,0.0,1.4059856746931581e-14
19,0.0,0.0,1.4059856746931581e-14
20,0.0,0.0,1.4059856746931581e-14
21,0.0,0.0,1.4059856746931581e-14
22,0.0,0.0,1.4059856746931581e-14
23,0.0,0.0,1.4059856746931581e-14
24,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
25,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
26,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
27,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
28,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
29,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
30,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
31,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
32,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
33,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
34,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
35,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
36,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
37,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
38,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
39,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
40,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
41,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
42,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
43,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
44,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
45,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
46,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
47,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
48,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
