t,temperature
0,6.186336968649895e-17
1,6.186336968649895e-17
2,6.186336968649895e-17
3,6.186336968649895e-17
4,6.186336968649895e-17
5,6.186336968649895e-17
6,6.186336968649895e-17
7,6.186336968649895e-17
8,7.381424792139082e-17
9,7.381424792139082e-17
10,7.381424792139082e-17
11,7.381424792139082e-17
12,8.210956340208044e-17
13,8.210956340208044e-17
14,8.210956340208044e-17
15,8.210956340208044e-17
16,8.71711118309758e-17
17,8.71711118309758e-17
18,8.71711118309758e-17
19,8.71711118309758e-17
20,8.71711118309758e-17
21,8.71711118309758e-17
22,8.71711118309758e-17
23,8.71711118309758e-17
24,8.71711118309758e-17
25,8.71711118309758e-17
26,8.71711118309758e-17
27,8.71711118309758e-17
28,8.71711118309758e-17
29,8.71711118309758e-17
30,8.71711118309758e-17
31,8.71711118309758e-17
32,8.71711118309758e-17
33,8.71711118309758e-17
34,8.71711118309758e-17
35,8.71711118309758e-17
36,8.71711118309758e-17
37,8.71711118309758e-17
38,8.71711118309758e-17
39,8.71711118309758e-17
40,8.71711118309758e-17
41,8.71711118309758e-17
42,8.71711118309758e-17
43,8.71711118309758e-17
44,8.71711118309758e-17
45,8.71711118309758e-17
46,8.71711118309758e-17
47,8.71711118309758e-17
48,8.71711118309758e-17
49,8.71711118309758e-17
50,8.71711118309758e-17
51,8.71711118309758e-17
52,8.71711118309758e-17
53,8.71711118309758e-17
54,8.71711118309758e-17
55,8.71711118309758e-17
56,8.71711118309758e-17
57,8.71711118309758e-17
58,8.71711118309758e-17
59,8.71711118309758e-17
60,8.8155301803261e-17
61,8.8155301803261e-17
62,8.8155301803261e-17
63,8.8155301803261e-17
64,9.560702587913472e-17
65,9.560702587913472e-17
66,9.560702587913472e-17
67,9.560702587913472e-17
68,9.560702587913472e-17
69,9.560702587913472e-17
70,9.560702587913472e-17
71,9.560702587913472e-17
72,8.773350610085307e-17
73,8.773350610085307e-17
74,8.773350610085307e-17
75,8.773350610085307e-17
76,9.124847028758594e-17
77,9.124847028758594e-17
78,9.124847028758594e-17
79,9.124847028758594e-17
80,9.560702587913472e-17
81,9.560702587913472e-17
82,9.560702587913472e-17
83,9.560702587913472e-17
84,9.560702587913472e-17
85,9.560702587913472e-17
86,9.560702587913472e-17
87,9.560702587913472e-17
88,1.024963556851312e-16
89,1.024963556851312e-16
90,1.024963556851312e-16
91,1.024963556851312e-16
92,1.0404293992729366e-16
93,1.0404293992729366e-16
94,1.0404293992729366e-16
95,1.0404293992729366e-16
96,1.0404293992729366e-16
97,1.0404293992729366e-16
98,1.0404293992729366e-16
99,1.0404293992729366e-16
100,1.0404293992729366e-16
101,1.0404293992729366e-16
102,1.0404293992729366e-16
103,1.0404293992729366e-16
104,1.0404293992729366e-16
105,1.0404293992729366e-16
106,1.0404293992729366e-16
107,1.0404293992729366e-16
108,1.0404293992729366e-16
109,1.0404293992729366e-16
110,1.0404293992729366e-16
111,1.0404293992729366e-16
112,1.0404293992729366e-16
113,1.0404293992729366e-16
114,1.0404293992729366e-16
115,1.0404293992729366e-16
116,1.0404293992729366e-16
117,1.0404293992729366e-16
118,1.0404293992729366e-16
119,1.0404293992729366e-16
120,9.771600439117449e-17
121,9.771600439117449e-17
122,9.771600439117449e-17
123,9.771600439117449e-17
124,9.504463160925747e-17
125,9.504463160925747e-17
126,9.504463160925747e-17
127,9.504463160925747e-17
128,7.029928373465791e-17
129,7.029928373465791e-17
130,7.029928373465791e-17
131,7.029928373465791e-17
132,5.539583558291043e-17
133,5.539583558291043e-17
134,5.539583558291043e-17
135,5.539583558291043e-17
136,5.370865277327864e-17
137,5.370865277327864e-17
138,5.370865277327864e-17
139,5.370865277327864e-17
140,6.186336968649895e-17
141,6.186336968649895e-17
142,6.186336968649895e-17
143,6.186336968649895e-17
144,6.186336968649895e-17
145,6.186336968649895e-17
146,6.186336968649895e-17
147,6.186336968649895e-17
148,6.186336968649895e-17
149,6.186336968649895e-17
150,6.186336968649895e-17
151,6.186336968649895e-17
152,6.186336968649895e-17
153,6.186336968649895e-17
154,6.186336968649895e-17
155,6.186336968649895e-17
156,5.117787855883094e-17
157,5.117787855883094e-17
158,5.117787855883094e-17
159,5.117787855883094e-17
160,5.905139833711264e-17
161,5.905139833711264e-17
162,5.905139833711264e-17
163,5.905139833711264e-17
164,5.905139833711264e-17
165,5.905139833711264e-17
166,5.905139833711264e-17
167,5.905139833711264e-17
168,5.905139833711264e-17
169,5.905139833711264e-17
170,5.905139833711264e-17
171,5.905139833711264e-17
172,5.1037279991361637e-17
173,5.1037279991361637e-17
174,5.1037279991361637e-17
175,5.1037279991361637e-17
176,5.061548428895368e-17
177,5.061548428895368e-17
178,5.061548428895368e-17
179,5.061548428895368e-17
180,5.061548428895368e-17
181,5.061548428895368e-17
182,5.061548428895368e-17
183,5.061548428895368e-17
184,4.5694534427527634e-17
185,4.5694534427527634e-17
186,4.5694534427527634e-17
187,4.5694534427527634e-17
188,4.2179570240794743e-17
189,4.2179570240794743e-17
190,4.2179570240794743e-17
191,4.2179570240794743e-17
192,3.8945803189000477e-17
