Datum;Temperature
01.01.2015 00:00;2,40
01.01.2015 01:00;2,40
01.01.2015 02:00;2,40
01.01.2015 03:00;2,40
01.01.2015 04:00;2,40
01.01.2015 05:00;2,40
01.01.2015 06:00;2,40
01.01.2015 07:00;2,40
01.01.2015 08:00;2,40
01.01.2015 09:00;2,40
01.01.2015 10:00;3,03
01.01.2015 11:00;4,16
01.01.2015 12:00;4,80
01.01.2015 13:00;5,30
01.01.2015 14:00;5,40
01.01.2015 15:00;5,20
01.01.2015 16:00;4,01
01.01.2015 17:00;3,22
01.01.2015 18:00;2,71
01.01.2015 19:00;2,40
01.01.2015 20:00;2,40
01.01.2015 21:00;2,40
01.01.2015 22:00;2,40
01.01.2015 23:00;2,40
02.01.2015 00:00;2,40
02.01.2015 01:00;2,40
02.01.2015 02:00;2,40
02.01.2015 03:00;2,84
02.01.2015 04:00;3,00
02.01.2015 05:00;3,10
02.01.2015 06:00;3,60
02.01.2015 07:00;3,60
02.01.2015 08:00;3,60
02.01.2015 09:00;4,12
02.01.2015 10:00;4,50
02.01.2015 11:00;5,03
02.01.2015 12:00;5,40
02.01.2015 13:00;5,40
02.01.2015 14:00;5,40
02.01.2015 15:00;5,40
02.01.2015 16:00;5,40
02.01.2015 17:00;5,03
02.01.2015 18:00;4,80
02.01.2015 19:00;4,80
02.01.2015 20:00;4,80
02.01.2015 21:00;4,75
02.01.2015 22:00;4,20
02.01.2015 23:00;4,20
03.01.2015 00:00;4,20
03.01.2015 01:00;4,20
03.01.2015 02:00;4,20
03.01.2015 03:00;4,07
03.01.2015 04:00;3,60
03.01.2015 05:00;3,60
03.01.2015 06:00;3,04
03.01.2015 07:00;2,40
03.01.2015 08:00;2,40
03.01.2015 09:00;2,85
03.01.2015 10:00;3,32
03.01.2015 11:00;3,60
03.01.2015 12:00;3,60
03.01.2015 13:00;3,60
03.01.2015 14:00;3,60
03.01.2015 15:00;3,56
03.01.2015 16:00;3,00
03.01.2015 17:00;3,00
03.01.2015 18:00;2,41
03.01.2015 19:00;2,40
03.01.2015 20:00;2,40
03.01.2015 21:00;2,40
03.01.2015 22:00;2,40
03.01.2015 23:00;2,40
04.01.2015 00:00;2,40
04.01.2015 01:00;2,40
04.01.2015 02:00;2,49
04.01.2015 03:00;3,00
04.01.2015 04:00;3,00
04.01.2015 05:00;3,00
04.01.2015 06:00;3,00
04.01.2015 07:00;3,00
04.01.2015 08:00;3,00
04.01.2015 09:00;3,00
04.01.2015 10:00;3,17
04.01.2015 11:00;3,86
04.01.2015 12:00;3,98
04.01.2015 13:00;3,39
04.01.2015 14:00;3,60
04.01.2015 15:00;3,60
04.01.2015 16:00;3,12
04.01.2015 17:00;2,92
04.01.2015 18:00;2,40
04.01.2015 19:00;2,40
04.01.2015 20:00;2,40
04.01.2015 21:00;2,40
04.01.2015 22:00;2,40
04.01.2015 23:00;2,40
05.01.2015 00:00;2,40
05.01.2015 01:00;2,40
05.01.2015 02:00;2,62
05.01.2015 03:00;2,40
05.01.2015 04:00;2,40
05.01.2015 05:00;2,40
05.01.2015 06:00;2,40
05.01.2015 07:00;2,40
05.01.2015 08:00;2,40
05.01.2015 09:00;2,40
05.01.2015 10:00;2,40
05.01.2015 11:00;2,40
05.01.2015 12:00;2,40
05.01.2015 13:00;2,40
05.01.2015 14:00;2,40
05.01.2015 15:00;2,40
05.01.2015 16:00;2,40
05.01.2015 17:00;2,40
05.01.2015 18:00;2,40
05.01.2015 19:00;2,40
05.01.2015 20:00;2,40
05.01.2015 21:00;2,40
05.01.2015 22:00;2,40
05.01.2015 23:00;2,40
06.01.2015 00:00;2,40
06.01.2015 01:00;2,40
06.01.2015 02:00;2,40
06.01.2015 03:00;2,40
06.01.2015 04:00;2,40
06.01.2015 05:00;2,40
06.01.2015 06:00;2,40
06.01.2015 07:00;1,57
06.01.2015 08:00;0,84
06.01.2015 09:00;1,12
06.01.2015 10:00;2,44
06.01.2015 11:00;3,04
06.01.2015 12:00;4,06
06.01.2015 13:00;4,40
06.01.2015 14:00;4,40
06.01.2015 15:00;4,29
06.01.2015 16:00;3,46
06.01.2015 17:00;3,03
06.01.2015 18:00;1,98
06.01.2015 19:00;1,40
06.01.2015 20:00;0,86
06.01.2015 21:00;0,80
06.01.2015 22:00;0,80
06.01.2015 23:00;0,80
07.01.2015 00:00;0,85
07.01.2015 01:00;1,40
07.01.2015 02:00;1,40
07.01.2015 03:00;1,40
07.01.2015 04:00;1,68
07.01.2015 05:00;2,00
07.01.2015 06:00;2,00
07.01.2015 07:00;1,45
07.01.2015 08:00;1,80
07.01.2015 09:00;2,00
07.01.2015 10:00;2,29
07.01.2015 11:00;2,79
07.01.2015 12:00;3,49
07.01.2015 13:00;4,34
07.01.2015 14:00;4,40
07.01.2015 15:00;4,40
07.01.2015 16:00;4,12
07.01.2015 17:00;3,75
07.01.2015 18:00;3,05
07.01.2015 19:00;2,60
07.01.2015 20:00;2,49
07.01.2015 21:00;1,61
07.01.2015 22:00;1,40
07.01.2015 23:00;1,29
08.01.2015 00:00;0,80
08.01.2015 01:00;0,80
08.01.2015 02:00;1,37
08.01.2015 03:00;1,40
08.01.2015 04:00;1,40
08.01.2015 05:00;1,90
08.01.2015 06:00;2,29
08.01.2015 07:00;2,61
08.01.2015 08:00;3,20
08.01.2015 09:00;3,20
