"","date_from","weekly_mean_pos_nt","sum_remuneration","sum_power","average"
"1",2015-01-05,1001.22567010309,2189119.3,2073,1056.0150988905
"2",2015-01-12,813.130449438202,1703006.86,2061,826.301242115478
"3",2015-01-19,592.224791666667,1276347.71,2066,617.786887705711
"4",2015-01-26,514.093689320388,1107837.46,2068,535.704767891683
"5",2015-02-02,562.281020408163,1181902.41,2057,574.575794846864
"6",2015-02-09,539.812178217822,1159532.96,2101,551.895744883389
"7",2015-02-16,513.506666666667,1073438.01,2073,517.818625180897
"8",2015-02-23,497.569633027523,1055224.36,2077,508.052171401059
"9",2015-03-02,465.556276595745,971759.31,2062,471.27027643065
"10",2015-03-09,414.97,867159.5,2066,419.728702807357
"11",2015-03-16,371.8228125,781598.95,2066,378.315077444337
"12",2015-03-23,374.68308411215,824956.25,2085,395.662470023981
"13",2015-03-30,411.994,850048.97,2071,410.453389666828
"14",2015-04-06,402.712674418605,817328,2065,395.800484261501
"15",2015-04-13,344.490104166667,722608.96,2069,349.255176413726
"16",2015-04-20,444.319238095238,910295.58,2052,443.613830409357
"17",2015-04-27,601.138295454545,1332801.68,2061,646.67718583212
"18",2015-05-04,660.017613636364,1413977.19,2027,697.571381351751
"19",2015-05-11,664.393670886076,1340435.62,2027,661.29038973853
"20",2015-05-18,543.672325581395,1128029.6,2037,553.770054000982
"21",2015-05-25,402.092891566265,801930.19,2034,394.262630285152
"22",2015-06-01,319.7395,748500.3,2041,366.7321411073
"23",2015-06-08,467.440204081633,993746.6,2028,490.013116370809
"24",2015-06-15,594.827446808511,1259466.7,2048,614.973974609375
"25",2015-06-22,649.145729166667,1363897.05,2040,668.576985294118
"26",2015-06-29,623.261538461538,1320614.22,2096,630.064036259542
"27",2015-07-06,527.988554216867,1130536.21,2103,537.582601046125
"28",2015-07-13,435.005384615385,928602.35,2113,439.471060104117
"29",2015-07-20,445.206195652174,996755.74,2083,478.519318290927
"30",2015-07-27,763.064742268041,1694858.3,2114,801.730510879849
"31",2015-08-03,869.786034482759,1914551.64,2099,912.125602667937
"32",2015-08-10,827.881585365854,1782653.25,2097,850.096924177396
"33",2015-08-17,636.058679245283,1362185.92,2101,648.351223227035
"34",2015-08-24,553.119126213592,1223536.31,2086,586.546649089166
"35",2015-08-31,668.200833333333,1503852.73,2106,714.080118708452
"36",2015-09-07,665.024615384615,1452870.79,2111,688.238176219801
"37",2015-09-14,544.522605042017,1187966.5,2106,564.086657169991
"38",2015-09-21,515.621057692308,1101428.01,2081,529.278236424796
"39",2015-09-28,513.86900990099,1108367.61,2075,534.153065060241
"40",2015-10-05,559.502,1167581.06,2057,567.613543996111
"41",2015-10-12,588.299523809524,1265492.56,2067,612.236361877117
"42",2015-10-19,679.890535714286,1483750.96,2061,719.917981562348
"43",2015-10-26,705.614545454545,1468192.78,2057,713.754389888187
"44",2015-11-02,650.616386554622,1396070.5,2078,671.833734359961
"45",2015-11-09,714.721610169492,1480571.82,2064,717.331308139535
"46",2015-11-16,663.775454545455,1358564.71,2073,655.36165460685
"47",2015-11-23,550.9945,1154268.04,2087,553.075246765692
"48",2015-11-30,574.060754716981,1192637.14,2060,578.950067961165
"49",2015-12-07,517.583838383838,1092912.39,2086,523.927320230105
"50",2015-12-14,437.273243243243,926313.04,2058,450.10351797862
"51",2015-12-21,1095.19558333333,2962803.75,2535,1168.75887573964
"52",2015-12-28,931.244166666667,2382296.36,2503,951.776412305234
