"","date_from","weekly_mean_neg_ht","sum_remuneration.x","sum_power.x","average.x","weekly_mean_neg_nt","sum_remuneration.y","sum_power.y","average.y","price"
"1",2015-01-05,492.390434782609,1029040.88,2026,507.917512339585,577.366339285714,1291748.65,2031,636.016075824717,536.901622855664
"2",2015-01-12,425.18890625,882223.42,2022,436.312274975272,479.994333333333,1007641.37,2047,492.252745481192,453.896510912698
"3",2015-01-19,319.012769230769,651877.39,2026,321.755868706811,364.321526717557,766525.1,2052,373.550243664717,342.745927914325
"4",2015-01-26,220.168129496403,447103.37,2023,221.010069204152,335.715968992248,714563.27,2022,353.394297725025,280.693188279941
"5",2015-02-02,153.812537313433,318897.86,2069,154.131396810053,267.658796992481,540918.86,2035,265.807793611794,213.446292383411
"6",2015-02-09,96.8777235772358,200348.47,2023,99.0353287197232,238.535039370079,501268.65,2026,247.417892398815,171.07917470682
"7",2015-02-16,65.1296992481203,137221.5,2043,67.1666666666667,204.147214285714,421538.91,2045,206.131496332518,137.948397601146
"8",2015-02-23,51.7961290322581,108374.41,2037,53.2029504172803,197.968181818182,421030.67,2035,206.894678132678,128.362442396313
"9",2015-03-02,44.4847540983607,91502.91,2022,45.2536646884273,216.800746268657,470194.6,2051,229.251389566065,134.745511901849
"10",2015-03-09,35.1098214285714,70964.65,2024,35.0615859683794,256.681079136691,555076.32,2041,271.962920137188,151.170956418539
"11",2015-03-16,38.1571,91698.11,2057,44.57856587263,318.659632352941,669505.43,2029,329.968176441597,185.08699789916
"12",2015-03-23,37.50136,89253.57,2023,44.1194117647059,335.619214285714,708270.7,2025,349.763308641975,193.658331292517
"13",2015-03-30,37.9331623931624,80941.19,1992,40.6331275100402,439.931923076923,967408.96,1987,486.869129340715,248.503941798942
"14",2015-04-06,37.2417117117117,72603.65,1984,36.5945816532258,480.603383458647,1025396.21,2001,512.441884057971,269.478777864868
"15",2015-04-13,28.2840540540541,55445.26,1979,28.0168064679131,457.752767857143,931563.86,1975,471.677903797468,253.243856522339
"16",2015-04-20,22.4701694915254,48721.33,2001,24.3484907546227,369.381111111111,751236.08,2011,373.563441074092,204.185424625594
"17",2015-04-27,22.6825,50221.84,1977,25.4030551340415,279.582169811321,554349.7,1984,279.410131048387,157.248993710692
"18",2015-05-04,22.7403174603175,49026.9,1992,24.6118975903614,205.332072072072,411341.82,1973,208.48546376077,118.383617495046
"19",2015-05-11,21.57475,43945.39,1987,22.1164519375944,114.887906976744,216344.54,2013,107.473691008445,70.4530703211517
"20",2015-05-18,20.6655284552846,47005.59,2010,23.3858656716418,55.0715384615385,117181.31,1996,58.7080711422846,38.6877241728461
"21",2015-05-25,21.6043442622951,46617.19,1978,23.5678412537917,31.1021495327103,60653.03,1983,30.5865002521432,26.5793851182269
"22",2015-06-01,18.4597222222222,40287.67,1982,20.3267759838547,23.6003100775194,64163.79,1981,32.3895961635538,21.1524110988064
"23",2015-06-08,14.0696721311475,33440.04,2079,16.0846753246753,65.6896268656716,176294.35,2004,87.9712325349301,41.1086960397078
"24",2015-06-15,11.8007633587786,22874.42,2000,11.43721,129.33417266187,301168.95,1976,152.413436234818,73.365882517541
"25",2015-06-22,9.26086614173228,18104.65,1975,9.16691139240506,205.310135135135,460209.63,1998,230.33515015015,111.953340376372
"26",2015-06-29,7.374,15847.59,2108,7.5178320683112,235.20843537415,521847.78,2115,246.736539007092,126.715847100745
"27",2015-07-06,9.86575757575758,22293.42,2116,10.5356427221172,204.555894039735,456851.35,2104,217.134672053232,111.846305247365
"28",2015-07-13,13.4829508196721,29031.5,2104,13.7982414448669,172.233034482759,381820.18,2129,179.34249882574,96.6377565479555
"29",2015-07-20,18.0274137931034,40806.63,2107,19.3671713336497,161.603,388855.01,2114,183.942767265847,93.2336732348112
"30",2015-07-27,25.8934375,68025.93,2131,31.922069450962,248.243597122302,609942.79,2105,289.759045130641,142.36256873073
"31",2015-08-03,52.4045652173913,135431.38,2104,64.3685266159696,374.991294964029,870663.69,2129,408.95429309535,221.378566513249
"32",2015-08-10,93.5728057553957,215817.71,2125,101.561275294118,455.826544117647,989732.03,2129,464.881178957257,283.324763945146
"33",2015-08-17,110.895074626866,250455.67,2106,118.924819563153,402.177142857143,877456.59,2117,414.481147850732,263.47139608082
"34",2015-08-24,95.98976,216190.48,2107,102.605828191742,320.618153846154,675601.51,2105,320.950836104513,213.652252014652
"35",2015-08-31,76.3186428571429,180171.45,2124,84.8264830508475,249.843656716418,541756.88,2114,256.270993377483,167.212697735811
"36",2015-09-07,96.6072185430464,228544.19,2103,108.675316214931,210.102928571429,452933.57,2121,213.5471805752,156.057352367437
"37",2015-09-14,113.776838709677,256792.64,2111,121.645021316911,171.791275167785,378803.77,2107,179.783469387755,144.165353044877
"38",2015-09-21,103.352936507937,222456.17,2114,105.229976348155,163.402834645669,359188.54,2105,170.635885985748,134.807645056273
"39",2015-09-28,90.0280536912752,188488.32,2034,92.668790560472,145.07022556391,300534.59,2011,149.445345599204,118.859667529322
"40",2015-10-05,84.8967768595041,173253.92,2025,85.5574913580247,124.536341463415,258387.44,2042,126.536454456415,105.660358318695
"41",2015-10-12,68.4020138888889,137070.27,2007,68.2960986547085,105.830580645161,220621.59,2047,107.778011724475,88.0074536183649
"42",2015-10-19,51.1858441558442,102609.52,2005,51.1768179551122,93.7933098591549,187606.21,2016,93.0586359126984,73.504040476626
"43",2015-10-26,48.05,98533.38,2026,48.6344422507404,77.2336879432624,156347.37,2003,78.0566000998502,63.336693684566
"44",2015-11-02,42.44625,86627.47,2007,43.1626656701545,66.0073469387755,131447.96,2010,65.3969950248756,54.78777696793
"45",2015-11-09,35.2618543046358,73097.29,2016,36.2585763888889,56.1406711409396,135774.86,2024,67.0824407114624,46.1983774093663
"46",2015-11-16,35.6877536231884,70881.31,2012,35.2292793240557,105.459477124183,266117.98,2006,132.661006979063,72.2348468856141
"47",2015-11-23,28.5637288135593,57622.61,2007,28.71081714001,142.383493150685,293952.76,2002,146.82955044955,88.1836053711013
"48",2015-11-30,19.1522666666667,40328.52,2033,19.8369503197245,116.363108108108,239093.92,2009,119.011408661025,70.0722312312312
"49",2015-12-07,11.1448091603053,22729.58,2013,11.2913959264779,93.2423270440252,195184.47,2035,95.9137444717445,54.1482709089205
"50",2015-12-14,4.31323529411765,9394.57,2021,4.64847600197922,64.787786259542,134263.24,2013,66.6980824639841,35.9903810379113
"51",2015-12-21,675.701976047904,1900961.36,2546,746.646252945797,1424.97354651163,3669064.11,2506,1464.11177573823,1068.17756057652
"52",2015-12-28,590.254509803922,1516755.78,2501,606.459728108757,1223.37210526316,3197778.17,2509,1274.52298525309,921.887535996855
"53",2016-01-04,127.021746031746,298435.53,1993,149.741861515304,228.186363636364,488932.85,1979,247.060560889338,180.012736205593
"54",2016-01-11,53.1192105263158,114928.69,2010,57.1784527363184,110.829752066116,221531.55,1990,111.322386934673,83.3485418090681
"55",2016-01-18,21.1389583333333,42958.51,2020,21.2665891089109,51.1053787878788,103605.6,1983,52.2468986384266,36.8356547619048
"56",2016-01-25,10.5974809160305,21754.86,2006,10.8448953140578,32.9431343283582,70480.48,1993,35.3640140491721,22.3023469891546
