"","date_from","weekly_mean_pos_ht","sum_remuneration.x","sum_power.x","average","weekly_mean_pos_nt","sum_remuneration.y","sum_power.y","price"
"1",2015-01-05,784.487553191489,1688319.69,2073,814.433039073806,1001.22567010309,2189119.3,2073,898.017043002329
"2",2015-01-12,627.986444444444,1320995.9,2070,638.162270531401,813.130449438202,1703006.86,2061,724.966637536413
"3",2015-01-19,477.711,996959.76,2061,483.726229985444,592.224791666667,1276347.71,2066,537.69441468254
"4",2015-01-26,465.152823529412,989240.76,2071,477.663331723805,514.093689320388,1107837.46,2068,490.788515134209
"5",2015-02-02,409.378842105263,876323.76,2098,417.694833174452,562.281020408163,1181902.41,2057,489.470459311544
"6",2015-02-09,376.641195652174,796725.76,2066,385.636863504356,539.812178217822,1159532.96,2101,462.111710329418
"7",2015-02-16,359.503939393939,756034.13,2076,364.178289980732,513.506666666667,1073438.01,2073,440.172034632035
"8",2015-02-23,359.685463917526,753704.86,2063,365.344091129423,497.569633027523,1055224.36,2077,431.910504879905
"9",2015-03-02,354.702929292929,739312.21,2061,358.715288694808,465.556276595745,971759.31,2062,412.768968356309
"10",2015-03-09,342.18932038835,709036.5,2062,343.858632395732,414.97,867159.5,2066,380.312533518262
"11",2015-03-16,546.027826086957,1117945.7,2054,544.277361246349,371.8228125,781598.95,2066,454.777580874741
"12",2015-03-23,473.133232323232,969379.05,2080,466.047620192308,374.68308411215,824956.25,2085,421.564107069808
"13",2015-03-30,512.991888888889,1080088.83,2064,523.298851744186,411.994,850048.97,2071,460.088232804233
"14",2015-04-06,460.807340425532,957452.25,2031,471.419128508124,402.712674418605,817328,2065,430.37680108857
"15",2015-04-13,372.823370786517,806664.19,2059,391.774740165129,344.490104166667,722608.96,2069,357.982135890405
"16",2015-04-20,340.623522727273,717898.51,2062,348.156406401552,444.319238095238,910295.58,2052,394.940326015255
"17",2015-04-27,298.531086956522,631192.35,2031,310.779098966027,601.138295454545,1332801.68,2061,457.039624741201
"18",2015-05-04,344.628085106383,732463.18,2046,357.997644183773,660.017613636364,1413977.19,2027,509.832123860182
"19",2015-05-11,357.611888888889,732778.25,2038,359.557531894014,664.393670886076,1340435.62,2027,518.307108030273
"20",2015-05-18,298.117640449438,610911.25,2026,301.535661401777,543.672325581395,1128029.6,2037,426.741523137606
"21",2015-05-25,243.171473684211,512105.95,2049,249.929697413372,402.092891566265,801930.19,2034,326.416025908144
"22",2015-06-01,259.306770833333,554015.88,2063,268.548657295201,319.7395,748500.3,2041,290.962009920635
"23",2015-06-08,307.4025,633254.6,2037,310.876092292587,467.440204081633,993746.6,2028,391.231773566569
"24",2015-06-15,311.434361702128,657582.85,2068,317.980101547389,594.827446808511,1259466.7,2048,459.878358662614
"25",2015-06-22,294.4125,609670.61,2050,297.400297560976,649.145729166667,1363897.05,2040,480.225143849206
"26",2015-06-29,277.521413043478,579407.03,2078,278.829177093359,623.261538461538,1320614.22,2096,458.623383500557
