t,wind
0,1.932667908433215e-17
1,2.1003317001403737e-17
2,2.0956919474138864e-17
3,2.0676425332037583e-17
4,2.0975900280747223e-17
5,2.120577893855956e-17
6,2.1176253239391e-17
7,2.115938141129468e-17
8,2.1157272432782644e-17
9,2.0963246409674988e-17
10,2.118890711046324e-17
11,2.1144618561710406e-17
12,2.1106656948493684e-17
13,2.1096112055933486e-17
14,2.1125637755102046e-17
15,2.1142509583198362e-17
16,2.1142509583198362e-17
17,2.1144618561710406e-17
18,2.1115092862541842e-17
19,2.110243899146961e-17
20,2.0583630277507834e-17
21,1.971262215203542e-17
22,2.0942156624554582e-17
23,2.003107790735342e-17
24,3.200374892020301e-17
25,3.2668077151495517e-17
26,2.4090861543029914e-17
27,2.626943634596697e-17
28,2.6052211559226873e-17
29,1.6133685617103982e-17
30,9.538909809955731e-18
31,5.12059982723248e-18
32,4.374021433970416e-18
33,6.801455701328153e-18
34,2.9124993251268764e-18
35,4.1968672389590763e-19
36,1.5817338840298028e-19
37,1.7989586707698956e-18
38,3.515667179570241e-18
39,2.754325936723897e-18
40,6.634846398877012e-18
41,6.537833387323183e-18
42,2.686838624338625e-18
43,4.177886432350718e-18
44,2.0899977054313795e-18
45,2.1026515765036183e-18
46,1.571188991469604e-18
47,2.0035295864377504e-18
48,5.9599732750242975e-18
49,9.110787172011665e-18
50,1.2132953379764607e-17
51,1.3427866186157004e-17
52,1.1538221439369402e-17
53,1.3887623501781667e-17
54,9.349101743872156e-18
55,1.136950315840622e-17
56,1.07473544973545e-17
57,1.5914351851851855e-17
58,1.628342309145881e-17
59,1.8367093861354067e-17
60,1.8940736016628874e-17
61,1.9254973814922793e-17
62,1.8723511229888788e-17
63,1.2434537306986289e-17
64,1.1590945902170394e-17
65,1.755513713421877e-17
66,1.877834467120182e-17
67,1.8464106872907897e-17
68,1.834811305474571e-17
69,1.237548590864918e-17
70,1.0000776104092431e-17
71,7.529053287981857e-18
72,4.595464177734587e-18
73,8.073169744088113e-18
74,1.3326635217579095e-17
75,1.580679394773783e-17
76,1.6061980347694638e-17
77,1.752772041356225e-17
78,1.4573041518194582e-17
79,1.5391325180866e-17
80,2.0440219738689128e-17
81,1.5549498569268983e-17
82,1.833545918367347e-17
83,2.0693297160133902e-17
84,1.2805717525105277e-17
85,1.3103083495302887e-17
86,2.02630655436778e-17
87,3.249303193499623e-17
88,2.0562540492387428e-17
89,2.1045496571644536e-17
90,2.1015970872475975e-17
91,2.0952701517114787e-17
92,2.0670098396501465e-17
93,2.0630027804772707e-17
94,2.0885214204729514e-17
95,2.1015970872475975e-17
96,2.1083458184861245e-17
97,2.118468915343916e-17
98,2.117836221790304e-17
99,2.1146727540222443e-17
100,2.10539324856927e-17
101,2.036007855523162e-17
102,2.0530905814706837e-17
103,1.998678935860059e-17
104,1.9866577583414324e-17
105,1.9451108816542495e-17
106,1.9727385001619705e-17
107,2.0444437695713212e-17
108,1.993406489579959e-17
109,1.9373076611597025e-17
110,2.0543559685779085e-17
111,2.0686970224597775e-17
112,2.1153054475758563e-17
113,2.1100330012957567e-17
114,2.0990663130331505e-17
115,2.1123528776590006e-17
116,2.109189409890941e-17
117,2.1115092862541842e-17
118,2.115094549724652e-17
119,2.1125637755102046e-17
120,3.383645124716554e-17
121,3.481290829823995e-17
122,3.494577394449844e-17
123,3.495631883705864e-17
124,3.491835722384193e-17
125,3.384066920418962e-17
126,3.490570335276968e-17
127,3.4914139266817844e-17
128,3.4926793137890085e-17
129,3.49014853957456e-17
130,3.4949991901522516e-17
131,3.492890211640213e-17
132,3.494788292301048e-17
133,3.4935229051938246e-17
134,3.491835722384193e-17
135,3.492890211640213e-17
136,3.490570335276968e-17
137,3.4884613567649287e-17
138,3.49014853957456e-17
139,3.4909921309793763e-17
140,3.492468415937805e-17
141,3.490359437425764e-17
142,3.4912030288305803e-17
143,3.489304948169745e-17
144,3.491624824532989e-17
145,3.4874068675089085e-17
146,3.457037576935537e-17
147,3.4650516952812875e-17
148,3.400306054961667e-17
149,3.486352378252889e-17
150,3.4931011094914166e-17
151,3.494577394449844e-17
152,3.492890211640213e-17
153,3.490570335276968e-17
154,3.4926793137890085e-17
155,3.492468415937805e-17
156,3.493944700896234e-17
157,3.484665195443257e-17
158,3.489937641723357e-17
159,3.4743312007342633e-17
160,3.4572484747867405e-17
161,3.349901468523918e-17
162,3.399040667854444e-17
163,3.4840325018896454e-17
164,3.4926793137890085e-17
165,3.4922575180866e-17
166,3.445859990821726e-17
167,3.458724759745169e-17
168,3.477283770651118e-17
169,3.441220238095239e-17
170,3.4437510123096866e-17
171,2.93759616942015e-17
172,2.5803352094806186e-17
173,2.7397739849908226e-17
174,2.3120731427491634e-17
175,1.8569555798509887e-17
176,1.982861597019761e-17
177,2.2137947440881116e-17
178,2.24395313681028e-17
179,2.6859950329338088e-17
180,2.8049414210128504e-17
181,2.726698318216176e-17
182,2.051403398661052e-17
183,1.3210641399416911e-17
184,9.108678193499625e-18
185,1.2457736070618726e-17
186,1.3689379521649935e-17
187,1.1264054232804234e-17
188,1.2151934186372963e-17
189,1.3613456295216507e-17
190,1.520995302883058e-17
191,1.6156884380736427e-17
192,1.7867265954000653e-17
